"","celex","date_doc","year","year.sem","form2","in_force2","date_end","full_text_words","title"
"17","31999D0002(01)",1999-08-26,1999,"1999.2","Decision","notinforce",2001-08-30,1600,"99/655/EC: Decision of the European Central bank of 26 August 1999 amending the Decision of the European Central Bank of 7 July 1998 (ECB/1998/6) on the denominations, specifications, reproduction, exchange and withdrawal of euro banknotes (ECB/1999/2)"
"18","31999D0005(01)",1999-10-07,1999,"1999.2","Decision","inforce",9999-12-31,1658,"Decision of the European Central Bank of 7 October 1999 on fraud prevention (ECB/1999/5)"
"19","31999D0006(01)",1999-10-07,1999,"1999.2","Decision","inforce",9999-12-31,479,"Decision of the European Central Bank of 7 October 1999 amending the Rules of Procedure of the European Central Bank (ECB/1999/6)"
"20","31999D0008(01)",1999-11-16,1999,"1999.2","Decision","notinforce",2002-11-15,274,"Decision of the European Central Bank of 16 November 1999 appointing the members of the Anti-Fraud Committee of the European Central Bank (ECB/1999/8)"
"21","31999O0003",1998-08-26,1998,"1998.2","Guideline","inforce",9999-12-31,971,"Guideline of the European Central Bank of 26 August 1998 on certain provisions regarding euro banknotes, as amended on 26 August 1999 (ECB/1999/3)"
"22","31999O0011",1999-04-22,1999,"1999.1","Guideline","inforce",9999-12-31,378,"Guideline of the European Central Bank of 22 April 1999 on the authorisation to issue national banknotes during the transitional period (ECB/1999/NP11)"
"23","31999Q0320",1998-09-01,1998,"1998.2","Rules of procedure","notinforce",2004-06-30,1365,"Rules of Procedure of the General Council of the European Central Bank"
"24","31999Q0519",1999-04-22,1999,"1999.1","Rules of procedure","inforce",9999-12-31,3247,"Rules of procedure of the European Central Bank as amended on 22 April 1999"
"25","31999R2157",1999-09-23,1999,"1999.2","Regulation","inforce",9999-12-31,3409,"European Central Bank Regulation (EC) No 2157/1999 of 23 September 1999 on the powers of the European Central Bank to impose sanctions (ECB/1999/4)"
"26","31999Y0320(01)",1998-11-16,1998,"1998.2","Opinion","notinforce",1999-02-22,362,"Opinion of the European Central Bank at the request of the Council of the European Union under Article 105a(2) of the Treaty establishing the European Community on a proposal for a Council Regulation (EC) amending Council Regulation (EC) No 975/98 on denominations and technical specifications of euro coins intended for circulation"
"27","31999Y0320(02)",1998-11-24,1998,"1998.2","Opinion","notinforce",1998-12-21,376,"Opinion of the European Central Bank at the request of the Council of the European Union under Article 109c(3) of the Treaty establishing the European Community on a proposal for a Council Decision (EC) on the detailed provisions concerning the composition of the Economic and Financial Committee"
"28","31999Y0507(01)",1998-12-30,1998,"1998.2","Opinion","notinforce",1998-12-31,845,"Opinion of the European Central Bank at the request of the Council of the European Union under Article 109(3) of the Treaty establishing the European Community on three recommendations for three Council Decisions concerning monetary relations with the Principality of Monaco, the Republic of San Marino and the Vatican City"
"29","31999Y0507(02)",1998-12-30,1998,"1998.2","Opinion","notinforce",1998-12-31,938,"Opinion of the European Central Bank at the request of the Council of the European Union under Article 109l(4) of the Treaty establishing the European Community on a proposal for a Council Decision concerning the monetary arrangements in the French territorial communities of Saint-Pierre-et-Miquelon and Mayotte"
"30","31999Y0706(01)",1999-01-18,1999,"1999.1","Opinion","notinforce",2000-09-18,3474,"Opinion of the European Central Bank of 18 January 1999 at the request of the Council of the European Union under Article 105(4) of the Treaty establishing the European Community and Article 4(a) of the Statute of the European System of Central Banks and of the European Central Bank on 1. a Commission proposal for a European Parliament and Council Directive on the taking up, the pursuit and the prudential supervision of the business of electronic money institutions, and 2. a Commission proposal for a European Parliament and Council Directive amending Directive 77/780/EEC on the coordination of laws, regulations and administrative provisions relating to the taking up and pursuit of the business of credit institutions"
"31","31999Y0715(03)",1998-09-22,1998,"1998.2","Opinion","inforce",9999-12-31,1080,"Opinion of the European Central Bank at the request of the Council of the European Union on a recommendation for a Council Decision concerning exchange rate matters relating to the CFA franc and the Comorian franc (CON/98/37)"
"32","31999Y0715(04)",1998-12-17,1998,"1998.2","Opinion","notinforce",1998-12-21,597,"Opinion of the European Central Bank at the request of the Council of the European Union on a recommendation for a Council Decision concerning exchange rate matters relating to the Cape Verde escudo (CON/98/57)"
"33","31999Y0903(01)",1999-06-23,1999,"1999.1","Opinion","inforce",9999-12-31,542,"Opinion of the European Central Bank of 23 June 1999 at the request of the Commission of the European Communities on a draft Commission Regulation (EC) laying down detailed rules for the implementation of Council Regulation (EC) No 2494/95 as regards minimum standards for the treatment of insurance in the Harmonised Index of Consumer Prices and modifying Commission Regulation (EC) No 2214/96 (CON/99/06)"
"34","31999Y1007(01)",1998-07-14,1998,"1998.2","Opinion","inforce",9999-12-31,1246,"Opinion of the European Central Bank of 14 July 1998 at the request of the Council of the European Union under Article 5(3) of Council Regulation (EC) No 2494/95 of 23 October 1995 and Article 109l(2) of the Treaty establishing the European Community (hereinafter referred to as the 'Treaty') on a proposal for a Council Regulation (EC) amending Commission Regulation (EC) No 1749/96 concerning the coverage of goods and services of the Harmonised Index of Consumer Prices and on a proposal for a Council Regulation (EC) amending Commission Regulation (EC) No 1749/96 concerning the geographic and population coverage of the Harmonised Index of Consumer Prices (CON/98/34)"
"35","31999Y1007(02)",1999-03-16,1999,"1999.1","Opinion","inforce",9999-12-31,4370,"Opinion of the European Central Bank of 16 March 1999 at the request of the Council of the European Union under Articles 109l(2) and 109f(6) of the Treaty establishing the European Community and Article 5.3 of the Statute of the European Monetary Institute on two European Commission proposals for European Parliament and Council Directives amending Directive 85/611/EEC on the coordination of laws, regulations and administrative provisions relating to undertakings for collective investment in transferable securities (UCITS), ref. 98/0242 - COM(1998) 451 final and ref. 98/0243 - COM(1998) 449 final (CON/98/54)"
"36","31999Y1007(03)",1999-07-09,1999,"1999.2","Opinion","inforce",9999-12-31,466,"Opinion of the European Central Bank of 9 July 1999 at the request of the Commission of the European Communities on a draft Commission Regulation (EC) amending Commission Regulation (EC) No 2214/96 concerning the sub-indices of the Harmonised Indices of Consumer Prices (CON/99/08)"
"37","31999Y1112(02)",1999-08-24,1999,"1999.2","Opinion","inforce",9999-12-31,845,"Opinion of the European Central Bank of 24 August 1999 at the request of the Council of the European Union on a proposal for a Council Regulation (EC) laying down detailed rules for the implementation of Council Regulation (EC) No 2494/95 as regards minimum standards for the treatment of products in the health, education and social protection sectors in the Harmonised Index of Consumer Prices (CON/99/11)"
"38","32000D0007(01)",1999-10-12,1999,"1999.2","Decision","inforce",9999-12-31,725,"Decision of the European Central Bank of 12 October 1999 concerning the Rules of Procedure of the Executive Board of the European Central Bank (ECB/1999/7)"
"39","32000D0009",1999-12-23,1999,"1999.2","Decision","notinforce",9999-12-31,210,"Decision of the European Central Bank of 23 December 1999 on the approval of the volume of coin issuance in 2000 (ECB/1999/11)"
"40","32000D0012(01)",2000-11-10,2000,"2000.2","Decision","inforce",9999-12-31,419,"2001/150/EC: Decision of the European Central Bank of 10 November 2000 on the publication of certain legal acts and instruments of the European Central Bank (ECB/2000/12)"
"41","32000D0014",2000-11-16,2000,"2000.2","Decision","inforce",9999-12-31,2990,"2000/823/EC: Decision of the European Central Bank of 16 November 2000 providing for the paying-up of capital and the contribution to the reserves and provisions of the ECB by the Bank of Greece, and for the initial transfer of foreign-reserve assets to the ECB by the Bank of Greece and related matters (ECB/2000/14)"
"42","32000D0016(01)",2000-12-12,2000,"2000.2","Decision","notinforce",2002-12-31,5464,"2001/81/EC: Decision of the European Central Bank of 1 December 1998 on the annual accounts of the European Central Bank as amended on 15 December 1999 and 12 December 2000 (ECB/2000/16)"
"43","32000D0017(01)",2000-12-14,2000,"2000.2","Decision","notinforce",2001-12-31,209,"2000/824/EC: Decision of the European Central Bank of 14 December 2000 on the approval of the volume of coin issuance in 2001 (ECB/2000/17)"
"44","32000D0019(01)",1998-11-03,1998,"1998.2","Decision","notinforce",2001-12-31,1716,"2000/825/EC: Decision of the European Central Bank of 3 November 1998 as amended by Decision of 14 December 2000 on the allocation of monetary income of the national central banks of participating Member States and losses of the ECB for the financial years 1999 to 2001 (ECB/2000/19)"
"45","32000O0001",2000-02-03,2000,"2000.1","Guideline","notinforce",2006-12-31,7389,"Guideline of the European Central Bank of 3 February 2000 on the management of the foreign reserve assets of the European Central Bank by the national central banks and the legal documentation for operations involving the foreign reserve assets of the European Central Bank (ECB/2000/1)"
"46","32000O0004",2000-05-11,2000,"2000.1","Guideline","notinforce",2003-05-31,8177,"Guideline of the European Central Bank of 11 May 2000 on the statistical reporting requirements of the European Central Bank in the field of balance-of-payments statistics, the international reserves template and international investment position statistics (ECB/2000/4)"
"47","32000O0006",2000-07-20,2000,"2000.2","Guideline","inforce",9999-12-31,957,"Consolidated version of Guideline ECB/2000/6 of 20 July 2000 on the implementation of Article 52 of the Statute of the European System of Central Banks and of the European Central Bank after the end of the transitional period, as amended by Guideline ECB/2001/10"
"48","32000O0006(01)",2000-07-20,2000,"2000.2","Guideline","inforce",9999-12-31,783,"Guideline of the European Central Bank of 20 July 2000 on the implementation of Article 52 of the Statute of the European System of Central Banks and of the European Central Bank after the end of the transitional period (ECB/2000/6)"
"49","32000O0007",2000-08-31,2000,"2000.2","Guideline","notinforce",2011-12-31,32968,"Guideline of the European Central Bank of 31 August 2000 on monetary policy instruments and procedures of the Eurosystem (ECB/2000/7)"
"50","32000O0015",1998-11-03,1998,"1998.2","Guideline","inforce",9999-12-31,1557,"GUIDELINE OF THE EUROPEAN CENTRAL BANK of 3 November 1998 as amended by the Guideline of 16 November 2000 on the composition, valuation and modalities for the initial transfer of foreign-reserve assets, and the denomination and remuneration of equivalent claims(ECB/2000/15)"
"51","32000O0018",2000-12-14,2000,"2000.2","Guideline","notinforce",2002-12-31,8692,"Guideline of the European Central Bank of 1 December 1998 on the legal framework for accounting and reporting in the European System of Central Banks as amended on 15 December 1999 and 14 December 2000 (ECB/2000/18)"
"52","32000R1921",2000-08-31,2000,"2000.2","Regulation","notinforce",2004-03-09,3469,"Regulation (EC) No 1921/2000 of the European Central Bank of 31 August 2000 amending Regulation (EC) No 2818/98 of the European Central Bank on the application of minimum reserves (ECB/1998/15) and amending Regulation (EC) No 2819/98 of the European Central Bank concerning the consolidated balance sheet of the monetary financial institutions sector (ECB/1998/16) (ECB/2000/8)"
"53","32000R2548",2000-11-02,2000,"2000.2","Regulation","inforce",9999-12-31,1410,"Regulation (EC) No 2548/2000 of the European Central Bank of 2 November 2000 concerning transitional provisions for the application of minimum reserves by the European Central Bank following the introduction of the euro in Greece (ECB/2000/11)"
"54","32000X1216",2000-09-14,2000,"2000.2","International agreement","notinforce",2006-03-30,567,"Agreement of 14 September 2000 between the European Central Bank and the national central banks of the Member States outside the euro area amending the Agreement of 1 September 1998 laying down the operating procedures for an exchange rate mechanism in stage III of economic and monetary union"
"55","32000Y0119(02)",1998-07-06,1998,"1998.2","Opinion","inforce",9999-12-31,313,"Opinion of the European Central Bank of 6 July 1998 at the request of the Commission of the European Communities under Article 5(3) of Council Regulation (EC) No 2494/95 of 23 October 1995 and Article 109l(2) of the Treaty establishing the European Community on a draft Commission Regulation (EC) concerning minimum standards for the treatment of tariffs in the Harmonised Index of Consumer Prices (CON/98/33)"
"56","32000Y0627(02)",2000-06-16,2000,"2000.1","Opinion","inforce",9999-12-31,916,"Opinion of the European Central Bank of 16 June 2000 at the request of the Council of the European Union pursuant to Article 123(5) of the Treaty establishing the European Community on proposals for three Council Regulations amending Regulation (EC) No 974/98 on the introduction of the euro, amending Regulation (EC) No 1103/97 on certain provisions relating to the introduction of the euro and amending Regulation (EC) No 2866/98 on the conversion rates between the euro and the currencies of the Member States adopting the euro (CON/00/12)"
"57","32000Y1216(02)",2000-11-24,2000,"2000.2","Opinion","inforce",9999-12-31,686,"Opinion of the European Central Bank of 24 November 2000 at the request of the Commission of the European Communities on two draft Commission Regulations (EC) laying down detailed rules for the implementation of Council Regulation (EC) No 2494/95 as regards minimum standards for the treatment of price reductions and as regards the timing of entering purchaser prices into the harmonised index of consumer prices (CON/00/27)"
"58","32000Y1216(03)",2000-12-05,2000,"2000.2","Opinion","inforce",9999-12-31,622,"Opinion of the European Central Bank of 5 December 2000 at the request of the Presidency of the Council of the European Union on a proposal to amend Article 10.2 of the Statute of the European System of Central Banks and of the European Central Bank (CON/00/30)"
"59","32001D0006(01)",2001-07-05,2001,"2001.2","Decision","inforce",9999-12-31,351,"2001/566/EC: Decision of the European Central Bank of 5 July 2001 amending Decision ECB/1998/4 on the adoption of the conditions of employment of staff of the European Central Bank (ECB/2001/6)"
"60","32001D0007(01)",2001-08-30,2001,"2001.2","Decision","notinforce",2003-03-25,1208,"2001/667/EC: Decision of the European Central Bank of 30 August 2001 on the denominations, specifications, reproduction, exchange and withdrawal of euro banknotes (ECB/2001/7)"
"61","32001D0011",2001-11-08,2001,"2001.2","Decision","inforce",9999-12-31,1723,"2001/912/EC: Decision of the European Central Bank of 8 November 2001 on certain conditions regarding access to the Counterfeit Monitoring System (CMS) (ECB/2001/11)"
"62","32001D0014(01)",2001-12-03,2001,"2001.2","Decision","notinforce",2003-03-25,1265,"2002/12/EC: Decision of the European Central Bank of 3 December 2001 amending Decision ECB/2001/7 on the denominations, specifications, reproduction, exchange and withdrawal of euro banknotes (ECB/2001/14)"
"63","32001D0015(01)",2001-12-06,2001,"2001.2","Decision","notinforce",2010-12-31,1336,"2001/913/EC: Decision of the European Central Bank of 6 December 2001 on the issue of euro banknotes (ECB/2001/15)"
"64","32001D0016(01)",2001-12-06,2001,"2001.2","Decision","notinforce",2010-12-30,3443,"2001/914/EC: Decision of the European Central Bank of 6 December 2001 on the allocation of monetary income of the national central banks of participating Member States from the financial year 2002 (ECB/2001/16)"
"65","32001D0019(01)",2001-12-20,2001,"2001.2","Decision","notinforce",2002-12-31,208,"2001/929/EC: Decision of the European Central Bank of 20 December 2001 on the approval of the volume of coin issuance in 2002 (ECB/2001/19)"
"66","32001D0224(01)",1998-06-19,1998,"1998.1","Decision","inforce",9999-12-31,246,"Decision of the Governing Council of the European Central Bank of 19 June 1998 on the appointment and on the duration of the mandate of the external auditor of the European Central Bank (ECB/1998/NP1)"
"67","32001O0001",2001-01-10,2001,"2001.1","Guideline","inforce",9999-12-31,2649,"Guideline of the European Central Bank of 10 January 2001 adopting certain provisions on the 2002 cash changeover (ECB/2001/1)"
"68","32001O0003",2001-04-26,2001,"2001.1","Guideline","notinforce",2006-03-15,8879,"Guideline of the European Central Bank of 26 April 2001 on a Trans-European Automated Real-time Gross Settlement Express Transfer system (Target) (ECB/2001/3)"
"69","32001O0005",2001-06-21,2001,"2001.1","Guideline","notinforce",2006-12-31,1434,"Guideline of the European Central Bank of 21 June 2001 amending Guideline ECB/2000/1 of 3 February 2000 on the management of the foreign reserve assets of the European Central Bank by the national central banks and the legal documentation for operations involving the foreign reserve assets of the European Central Bank (ECB/2001/5)"
"70","32001O0008",2001-09-13,2001,"2001.2","Guideline","inforce",9999-12-31,2234,"Guideline of the European Central Bank of 13 September 2001 adopting certain provisions on the frontloading of euro banknotes outside the euro area (ECB/2001/8)"
"71","32001O0009",2001-09-27,2001,"2001.2","Guideline","notinforce",2003-10-31,2177,"Guideline of the European Central Bank of 27 September 2001 for participating Member States' transactions with their foreign exchange working balances pursuant to Article 31.3 of the Statute of the European system of central banks and of the European Central Bank (ECB/2001/9)"
"72","32001O0010",2001-10-25,2001,"2001.2","Guideline","inforce",9999-12-31,741,"Guideline of the European Central Bank of 25 October 2001 amending Guideline ECB/2000/6 on the implementation of Article 52 of the Statute of the European System of Central Banks and of the European Central Bank after the end of the transitional period (ECB/2001/10)"
"73","32001O0012",2001-11-16,2001,"2001.2","Guideline","notinforce",2006-12-31,745,"Guideline of the European Central Bank of 16 November 2001 amending Guideline ECB/2000/1 on the management of the foreign reserve assets of the European Central Bank by the national central banks and the legal documentation for operations involving the foreign reserve assets of the European Central Bank (ECB/2001/12)"
"74","32001R0985",2001-05-10,2001,"2001.1","Regulation","inforce",9999-12-31,423,"Regulation (EC) No 985/2001 of the European Central Bank of 10 May 2001 amending Regulation ECB/1999/4 on the powers of the European Central Bank to impose sanctions (ECB/2001/4)"
"75","32001R2423",2001-11-22,2001,"2001.2","Regulation","notinforce",2010-06-30,10326,"Regulation (EC) No 2423/2001 of the European Central Bank of 22 November 2001 concerning the consolidated balance sheet of the monetary financial institutions sector (ECB/2001/13)"
"76","32001Y0120(02)",2000-12-20,2000,"2000.2","Opinion","notinforce",2001-06-28,1036,"Opinion of the European Central Bank of 20 December 2000 at the request of the Council of the European Union pursuant to Article 105(4) of the Treaty establishing the European Community on a proposal for a Council Regulation on the protection of the euro against counterfeiting (CON/00/20)"
"77","32002D0009(01)",2002-11-21,2002,"2002.2","Decision","notinforce",2005-11-17,1087,"2002/930/EC: Decision of the European Central Bank of 21 November 2002 on the distribution of the income of the European Central Bank on euro banknotes in circulation to the national central banks of the participating Member States (ECB/2002/9)"
"78","32002D0011(01)",2002-12-05,2002,"2002.2","Decision","notinforce",2006-12-31,6089,"2003/132/EC: Decision of the European Central Bank of 5 December 2002 on the annual accounts of the European Central Bank (ECB/2002/11)"
"79","32002D0012",2002-12-19,2002,"2002.2","Decision","notinforce",2003-12-31,213,"2002/1011/EC: Decision of the European Central Bank of 19 December 2002 on the approval of the volume of coin issuance in 2003 (ECB/2002/12)"
"80","32002O0001",2002-02-27,2002,"2002.1","Guideline","notinforce",2006-03-15,907,"Guideline of the European Central Bank of 27 February 2002 amending Guideline ECB/2001/3 on a Trans-European Automated Real-time Gross Settlement Express Transfer system (Target) (ECB/2002/1)"
"81","32002O0002",2002-03-07,2002,"2002.1","Guideline","notinforce",2003-12-02,27469,"Guideline of the European Central Bank of 7 March 2002 amending Guideline ECB/2000/7 on monetary policy instruments and procedures of the Eurosystem (ECB/2002/2)"
"82","32002O0005",2002-07-30,2002,"2002.2","Guideline","notinforce",2003-02-10,3071,"Guideline of the European Central Bank of 30 July 2002 concerning certain statistical reporting requirements of the European Central Bank and the procedures for reporting by the national central banks of statistical information in the field of money and banking statistics (ECB/2002/5)"
"83","32002O0006",2002-09-26,2002,"2002.2","Guideline","notinforce",9999-12-31,1414,"Guideline of the European Central Bank of 26 September 2002 on minimum standards for the European Central Bank and national central banks when conducting monetary policy operations, foreign exchange operations with the ECB's foreign reserves and managing the ECB's foreign reserve assets (ECB/2002/6)"
"84","32002O0007",2002-11-21,2002,"2002.2","Guideline","notinforce",2014-08-31,1479,"Guideline of the European Central Bank of 21 November 2002 on the statistical reporting requirements of the European Central Bank in the field of quarterly financial accounts (ECB/2002/7)"
"85","32002O0010",2002-12-05,2002,"2002.2","Guideline","notinforce",2006-12-31,7799,"Guideline of the European Central Bank of 5 December 2002 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2002/10)"
"86","32002R0063",2001-12-20,2001,"2001.2","Regulation","notinforce",2014-12-31,13600,"Regulation (EC) No 63/2002 of the European Central Bank of 20 December 2001 concerning statistics on interest rates applied by monetary financial institutions to deposits and loans vis-à-vis households and non-financial corporations (ECB/2001/18)"
"87","32002R0690",2002-04-18,2002,"2002.1","Regulation","notinforce",2002-06-23,1023,"Regulation (EC) No 690/2002 of the European Central Bank of 18 April 2002 amending Regulation (EC) No 2818/98 (ECB/1998/15) on the application of minimum reserves (ECB/2002/3)"
"88","32002R0993",2002-06-06,2002,"2002.1","Regulation","notinforce",2010-06-30,490,"Regulation (EC) No 993/2002 of the European Central Bank of 6 June 2002 correcting Regulation ECB/2001/13 concerning the consolidated balance sheet of the monetary financial institutions sector (ECB/2002/4)"
"89","32002R2174",2002-11-21,2002,"2002.2","Regulation","notinforce",2010-06-30,1659,"Regulation (EC) No 2174/2002 of the European Central Bank of 21 November 2002 amending Regulation ECB/2001/13 concerning the consolidated balance sheet of the monetary financial institutions sector (ECB/2002/8)"
"90","32002X0125(01)",2001-12-13,2001,"2001.2","International agreement","notinforce",2014-12-02,1693,"Agreement between the European Police Office (Europol) and the European Central Bank (ECB)"
"91","32003D0004",2003-03-20,2003,"2003.1","Decision","notinforce",2013-04-30,2353,"2003/205/EC: Decision of the European Central Bank of 20 March 2003 on the denominations, specifications, reproduction, exchange and withdrawal of euro banknotes (ECB/2003/4)"
"92","32003D0013(01)",2003-10-23,2003,"2003.2","Decision","notinforce",9999-12-31,502,"2003/776/EC: Decision of the European Central Bank of 23 October 2003 amending Decision ECB/2002/12 of 19 December 2002 on the approval of the volume of coin issuance in 2003 (ECB/2003/13)"
"93","32003D0014(01)",2003-11-07,2003,"2003.2","Decision","inforce",9999-12-31,1027,"2003/797/EC: Decision of the European Central Bank of 7 November 2003 concerning the administration of the borrowing-and-lending operations concluded by the European Community under the medium-term financial assistance facility (ECB/2003/14)"
"94","32003D0015(01)",2003-11-28,2003,"2003.2","Decision","notinforce",9999-12-31,253,"2003/860/EC: Decision of the European Central Bank of 28 November 2003 on the approval of the volume of coin issuance in 2004 (ECB/2003/15)"
"95","32003D0017(01)",2003-12-18,2003,"2003.2","Decision","notinforce",2004-04-30,646,"2004/43/EC: Decision of the European Central Bank of 18 December 2003 on the national central banks' percentage shares in the key for subscription to the European Central Bank's capital (ECB/2003/17)"
"96","32003D0018(01)",2003-12-18,2003,"2003.2","Decision","notinforce",2004-04-30,657,"2004/44/EC: Decision of the European Central Bank of 18 December 2003 laying down the measures necessary for the paying-up of the European Central Bank's capital by the participating national central banks (ECB/2003/18)"
"97","32003D0019(01)",2003-12-18,2003,"2003.2","Decision","notinforce",2004-04-30,542,"2004/45/EC: Decision of the European Central Bank of 18 December 2003 laying down the measures necessary for the paying-up of the European Central Bank's capital by the non-participating national central banks (ECB/2003/19)"
"98","32003D0020(01)",2003-12-18,2003,"2003.2","Decision","notinforce",2009-01-01,1048,"2004/46/EC: Decision of the European Central Bank of 18 December 2003 laying down the terms and conditions for transfers of the European Central Bank's capital shares between the national central banks and adjustment of the paid-up capital (ECB/2003/20)"
"99","32003D0021(01)",2003-12-18,2003,"2003.2","Decision","notinforce",2006-12-31,1301,"2004/47/EC: Decision of the European Central Bank of 18 December 2003 laying down the measures necessary for the contribution to the European Central Bank's reserves and provisions and for adjusting the national central banks' claims equivalent to the transferred foreign reserve assets (ECB/2003/21)"
"100","32003D0022(01)",2003-12-18,2003,"2003.2","Decision","notinforce",2010-12-30,578,"2004/48/EC: Decision of the European Central Bank of 18 December 2003 amending Article 1(f) of Decision ECB/2001/16 of 6 December 2001 on the allocation of monetary income of the national central banks of participating Member States from the financial year 2002 (ECB/2003/22)"
"101","32003D0023(01)",2003-12-18,2003,"2003.2","Decision","notinforce",2010-12-31,567,"2004/49/EC: Decision of the European Central Bank of 18 December 2003 amending Decision ECB/2001/15 of 6 December 2001 on the issue of euro banknotes (ECB/2003/23)"
"102","32003O0002",2003-02-06,2003,"2003.1","Guideline","notinforce",2007-09-02,70361,"Guideline of the European Central Bank of 6 February 2003 concerning certain statistical reporting requirements of the European central bank and the procedures for reporting by the national central banks of statistical information in the field of money and banking statistics (ECB/2003/2)"
"103","32003O0005",2003-03-20,2003,"2003.1","Guideline","inforce",9999-12-31,1476,"Guideline of the European Central Bank of 20 March 2003 on the enforcement of measures to counter non-compliant reproductions of euro banknotes and on the exchange and withdrawal of euro banknotes (ECB/2003/5)"
"104","32003O0006",2003-04-04,2003,"2003.1","Guideline","notinforce",2006-03-15,2199,"Guideline of the European Central Bank of 4 April 2003 amending Guideline ECB/2001/3 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET), as amended on 27 February 2002 (ECB/2003/6)"
"105","32003O0007",2003-05-02,2003,"2003.1","Guideline","notinforce",2004-08-31,11070,"Guideline of the European Central Bank of 2 May 2003 on the statistical reporting requirements of the European Central Bank in the field of balance of payments and international investment position statistics, and the international reserves template (ECB/2003/7)"
"106","32003O0012",2003-10-23,2003,"2003.2","Guideline","inforce",9999-12-31,2549,"Guideline of the European Central Bank of 23 October 2003 for participating Member States' transactions with their foreign exchange working balances pursuant to Article 31.3 of the Statute of the European System of Central Banks and of the European Central Bank (ECB/2003/12)"
