"Title","CELEX number","ECLI identifier","Date of document","Author",
"Guideline (EU) 2019/1386 of the European Central Bank of 7 June 2019 amending Guideline ECB/2014/15 on monetary and financial statistics (ECB/2019/18)","32019O0018","","2019-06-07","European Central Bank",
"Decision (EU) 2019/1378 of the European Central Bank of 9 August 2019 amending Decision ECB/2014/16 concerning the establishment of an Administrative Board of Review and its Operating Rules (ECB/2019/27)","32019D0027","","2019-08-09","European Central Bank",
"Decision (EU) 2019/1377 of the European Central Bank of 31 July 2019 nominating heads of work units to adopt delegated decisions on passporting, acquisition of qualifying holdings and withdrawal of authorisations of credit institutions (ECB/2019/26)","32019D0026","","2019-07-31","European Central Bank",
"Decision (EU) 2019/1376 of the European Central Bank of 23 July 2019 on delegation of the power to adopt decisions on passporting, acquisition of qualifying holdings and withdrawal of authorisations of credit institutions (ECB/2019/23)","32019D0023","","2019-07-23","European Central Bank",
"Decision (EU) 2019/1348 of the European Central Bank of 18 July 2019 on the procedure for recognising non-euro area Member States as reporting Member States under Regulation (EU) 2016/867 on the collection of granular credit and credit risk data (ECB/2019/20)","32019D0020(01)","","2019-07-18","European Central Bank",
"Decision (EU) 2019/1349 of the European Central Bank of 26 July 2019 on the procedure and conditions for exercise by a competent authority of certain powers in relation to oversight of systemically important payment systems (ECB/2019/25)","32019D0025(01)","","2019-07-26","European Central Bank",
"Guideline (EU) 2019/1335 of the European Central Bank of 7 June 2019 amending Guideline (EU) 2018/876 on the Register of Institutions and Affiliates Data (ECB/2019/17)","32019O0017","","2019-06-07","European Central Bank",
"Decision (EU) 2019/1312 of the European Central Bank of 22 July 2019 amending Decision (EU) 2016/810 (ECB/2016/10) on a second series of targeted longer-term refinancing operations (ECB/2019/22)","32019D0022(01)","","2019-07-22","European Central Bank",
"Decision (EU) 2019/1311 of the European Central Bank of 22 July 2019 on a third series of targeted longer-term refinancing operations (ECB/2019/21)","32019D0021(01)","","2019-07-22","European Central Bank",
"Guideline (EU) 2019/1265 of the European Central Bank of 10 July 2019 on the euro short-term rate (€STR) (ECB/2019/19)","32019O0019","","2019-07-10","European Central Bank",
"Guideline (EU) 2019/1034 of the European Central Bank of 10 May 2019 amending Guideline ECB/2014/31 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2019/13)","32019O0013","","2019-05-10","European Central Bank",
"Guideline (EU) 2019/1033 of the European Central Bank of 10 May 2019 amending Guideline (EU) 2016/65 on the valuation haircuts applied in the implementation of the Eurosystem monetary policy framework (ECB/2019/12)","32019O0012","","2019-05-10","European Central Bank",
"Guideline (EU) 2019/1032 of the European Central Bank of 10 May 2019 amending Guideline (EU) 2015/510 on the implementation of the Eurosystem monetary policy framework (ECB/2019/11)","32019O0011","","2019-05-10","European Central Bank",
"Guideline (EU) 2019/1007 of the European Central Bank of 7 June 2019 amending Guideline ECB/2012/13 on TARGET2-Securities (ECB/2019/16)","32019O0016","","2019-06-07","European Central Bank",
"Decision (EU) 2019/1006 of the European Central Bank of 7 June 2019 amending Decision ECB/2011/20 establishing detailed rules and procedures for implementing the eligibility criteria for central securities depositories to access TARGET2-Securities services (ECB/2019/15)","32019D0015(01)","","2019-06-07","European Central Bank",
"Decision (EU) 2019/976 of the European Central Bank of 29 May 2019 laying down the principles for defining objectives and sharing feedback in joint supervisory teams and repealing Decision (EU) 2017/274 (ECB/2019/14)","32019D0014(01)","","2019-05-29","European Central Bank",
"Decision (EU) 2019/685 of the European Central Bank of 18 April 2019 on the total amount of annual supervisory fees for 2019 (ECB/2019/10)","32019D0010","","2019-04-18","European Central Bank",
"Decision (EU) 2019/670 of the European Central Bank of 9 April 2019 amending Decision ECB/2014/8 on the prohibition of monetary financing and the remuneration of government deposits by national central banks (ECB/2019/8)","32019D0008","","2019-04-09","European Central Bank",
"Decision (EU) 2019/669 of the European Central Bank of 4 April 2019 amending Decision ECB/2013/10 on the denominations, specifications, reproduction, exchange and withdrawal of euro banknotes (ECB/2019/9)","32019D0009","","2019-04-04","European Central Bank",
"Guideline (EU) 2019/671 of the European Central Bank of 9 April 2019 on domestic asset and liability management operations by the national central banks (recast) (ECB/2019/7)","32019O0007","","2019-04-09","European Central Bank",
"Decision (EU) 2019/322 of the European Central Bank of 31 January 2019 on delegation of the power to adopt decisions regarding supervisory powers granted under national law (ECB/2019/4)","32019D0004","","2019-01-31","European Central Bank",
"Decision (EU) 2019/323 of the European Central Bank of 12 February 2019 nominating heads of work units to adopt delegated decisions regarding supervisory powers granted under national law (ECB/2019/5)","32019D0005","","2019-02-12","European Central Bank",
"Decision (EU) 2019/166 of the European Central Bank of 25 January 2019 on the Market Infrastructure Board and repealing Decision ECB/2012/6 on the establishment of the TARGET2-Securities Board (ECB/2019/3)","32019D0003(01)","","2019-01-25","European Central Bank",
"Decision (EU) 2019/137 of the European Central Bank of 23 January 2019 on the selection of Eurosystem Single Market Infrastructure Gateway (ESMIG) network service providers (ECB/2019/2)","32019D0002","","2019-01-23","European Central Bank",
"Regulation (EU) 2019/113 of the European Central Bank of 7 December 2018 amending Regulation (EU) No 1333/2014 concerning statistics on the money markets (ECB/2018/33)","32019R0113","","2018-12-07","European Central Bank",
"Decision (EU) 2019/47 of the European Central Bank of 29 November 2018 amending Decision ECB/2010/29 on the issue of euro banknotes (ECB/2018/31)","32018D0031","","2018-11-29","European Central Bank",
"Decision (EU) 2019/44 of the European Central Bank of 29 November 2018 on the paying-up of the European Central Bank's capital by the national central banks of Member States whose currency is the euro, amending Decision ECB/2014/61 and repealing Decision ECB/2013/30 (ECB/2018/28)","32018D0028","","2018-11-29","European Central Bank",
"Decision (EU) 2019/45 of the European Central Bank of 29 November 2018 laying down the terms and conditions for transfers of the European Central Bank's capital shares between the national central banks and for the adjustment of the paid-up capital and repealing Decision ECB/2013/29 (ECB/2018/29)","32018D0029","","2018-11-29","European Central Bank",
"Decision (EU) 2019/46 of the European Central Bank of 29 November 2018 laying down the measures necessary for the contribution to the European Central Bank's accumulated equity value and for adjusting the national central banks' claims equivalent to the transferred foreign reserve assets and repealing Decision ECB/2013/26 (ECB/2018/30)","32018D0030","","2018-11-29","European Central Bank",
"Decision (EU) 2019/43 of the European Central Bank of 29 November 2018 on the national central banks' percentage shares in the key for subscription to the European Central Bank's capital and repealing Decision ECB/2013/28 (ECB/2018/27)","32018D0027","","2018-11-29","European Central Bank",
"Decision (EU) 2019/48 of the European Central Bank of 30 November 2018 on the paying-up of the European Central Bank's capital by the non-euro area national central banks and repealing Decision ECB/2013/31 (ECB/2018/32)","32018D0032","","2018-11-30","European Central Bank",
"Decision (EU) 2018/2049 of the European Central Bank of 12 December 2018 on the approval of the volume of coin issuance in 2019 (ECB/2018/35)","32018D0035","","2018-12-12","European Central Bank",
"Regulation (EU) 2018/1845 of the European Central Bank of 21 November 2018 on the exercise of the discretion under Article 178(2)(d) of Regulation (EU) No 575/2013 in relation to the threshold for assessing the materiality of credit obligations past due (ECB/2018/26)","32018R1845","","2018-11-21","European Central Bank",
"Decision (EU) 2018/1625 of the European Central Bank of 8 October 2018 amending Decision ECB/2007/7 concerning the terms and conditions of TARGET2-ECB (ECB/2018/24)","32018D0024","","2018-10-08","European Central Bank",
"Guideline (EU) 2018/1626 of the European Central Bank of 3 August 2018 amending Guideline ECB/2012/27 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET2) (ECB/2018/20)","32018O0020","","2018-08-03","European Central Bank",
"Guideline (EU) 2018/1151 of the European Central Bank of 2 August 2018 amending Guideline ECB/2011/23 on the statistical reporting requirements of the European Central Bank in the field of external statistics (ECB/2018/19)","32018O0019","","2018-08-02","European Central Bank",
"Decision (EU) 2018/1148 of the European Central Bank of 10 August 2018 on the eligibility of marketable debt instruments issued or fully guaranteed by the Hellenic Republic and repealing Decision (EU) 2016/1041 (ECB/2018/21)","32018D0021","","2018-08-10","European Central Bank",
"Guideline (EU) 2018/876 of the European Central Bank of 1 June 2018 on the Register of Institutions and Affiliates Data (ECB/2018/16)","32018O0016","","2018-06-01","European Central Bank",
"Guideline (EU) 2018/877 of the European Central Bank of 1 June 2018 amending Guideline ECB/2014/15 on monetary and financial statistics (ECB/2018/17)","32018O0017","","2018-06-01","European Central Bank",
"Guideline (EU) 2018/861 of the European Central Bank of 24 April 2018 amending Guideline ECB/2013/23 on government finance statistics (ECB/2018/13)","32018O0013","","2018-04-24","European Central Bank",
"Guideline (EU) 2018/797 of the European Central Bank of 3 May 2018 on the Eurosystem's provision of reserve management services in euro to central banks and countries located outside the euro area and to international organisations (ECB/2018/14)","32018O0014","","2018-05-03","European Central Bank",
"Decision (EU) 2018/667 of the European Central Bank of 19 April 2018 on the total amount of annual supervisory fees for 2018 (ECB/2018/12)","32018D0012","","2018-04-19","European Central Bank",
"Guideline (EU) 2018/571 of the European Central Bank of 7 February 2018 amending Guideline (EU) 2016/65 on the valuation haircuts applied in the implementation of the Eurosystem monetary policy framework (ECB/2018/4)","32018O0004","","2018-02-07","European Central Bank",
"Guideline (EU) 2018/570 of the European Central Bank of 7 February 2018 amending Guideline (EU) 2015/510 on the implementation of the Eurosystem monetary policy framework (ECB/2018/3)","32018O0003","","2018-02-07","European Central Bank",
"Guideline (EU) 2018/572 of the European Central Bank of 7 February 2018 amending Guideline ECB/2014/31 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2018/5)","32018O0005","","2018-02-07","European Central Bank",
"Decision (EU) 2018/547 of the European Central Bank of 27 March 2018 nominating heads of work units to adopt delegated own funds decisions (ECB/2018/11)","32018D0011(01)","","2018-03-27","European Central Bank",
"Decision (EU) 2018/546 of the European Central Bank of 15 March 2018 on delegation of the power to adopt own funds decisions (ECB/2018/10)","32018D0010(01)","","2018-03-15","European Central Bank",
"Regulation (EU) 2018/318 of the European Central Bank of 22 February 2018 amending Regulation (EU) No 1011/2012 concerning statistics on holdings of securities (ECB/2018/7)","32018R0318","","2018-02-22","European Central Bank",
"Guideline (EU) 2018/323 of the European Central Bank of 22 February 2018 amending Guideline ECB/2013/7 concerning statistics on holdings of securities (ECB/2018/8)","32018O0008","","2018-02-22","European Central Bank",
"Regulation (EU) 2018/231 of the European Central Bank of 26 January 2018 on statistical reporting requirements for pension funds (ECB/2018/2)","32018R0231","","2018-01-26","European Central Bank",
"Decision (EU) 2018/228 of the European Central Bank of 13 February 2018 amending Decision (EU) 2017/936 nominating heads of work units to adopt delegated fit and proper decisions (ECB/2018/6)","32018D0006(01)","","2018-02-13","European Central Bank",
"Arrangement between the European Parliament, the European Council, the Council of the European Union, the European Commission, the Court of Justice of the European Union, the European Central Bank, the European Court of Auditors, the European External Action Service, the European Economic and Social Committee, the European Committee of the Regions and the European Investment Bank on the organisation and operation of a computer emergency response team for the Union's institutions, bodies and agencies (CERT-EU)","32018Q0113(01)","","2017-12-20","Council of the European Union, European Central Bank, European Investment Bank, European Economic and Social Committee, European Commission, Court of Justice of the European Union, European Committee of the Regions, European External Action Service, European Council, European Parliament, European Court of Auditors",
"Decision (EU) 2017/2443 of the European Central Bank of 8 December 2017 on the approval of the volume of coin issuance in 2018 (ECB/2017/40)","32017D0040","","2017-12-08","European Central Bank",
"Decision (EU) 2017/2444 of the European Central Bank of 8 December 2017 amending Decision (EU) 2015/2332 on the procedural framework for the approval of the volume of euro coin issuance (ECB/2017/41)","32017D0041","","2017-12-08","European Central Bank",
"Decision (EU) 2017/2442 of the European Central Bank of 8 December 2017 amending Decision (EU) 2016/2164 on the approval of the volume of coin issuance in 2017 (ECB/2017/39)","32017D0039","","2017-12-08","European Central Bank",
"Guideline (EU) 2017/2335 of the European Central Bank of 23 November 2017 on the procedures for the collection of granular credit and credit risk data (ECB/2017/38)","32017O0038","","2017-11-23","European Central Bank",
"Decision (EU) 2017/2239 of the European Central Bank of 16 November 2017 amending Decision (EU) 2016/2247 on the annual accounts of the European Central Bank (ECB/2017/36)","32017D0036","","2017-11-16","European Central Bank",
"Decision (EU) 2017/2199 of the European Central Bank of 20 November 2017 amending Decision ECB/2014/40 on the implementation of the third covered bond purchase programme (ECB/2017/37)","32017D0037(01)","","2017-11-20","European Central Bank",
"Guideline (EU) 2017/2193 of the European Central Bank of 27 October 2017 amending Guideline (EU) 2015/280 on the establishment of the Eurosystem Production and Procurement System (ECB/2017/31)","32017O0031","","2017-10-27","European Central Bank",
"Regulation (EU) 2017/2095 of the European Central Bank of 3 November 2017 amending Regulation (EC) No 2157/1999 on the powers of the European Central Bank to impose sanctions (ECB/2017/34)","32017R2095","","2017-11-03","European Central Bank",
"Regulation (EU) 2017/2094 of the European Central Bank of 3 November 2017 amending Regulation (EU) No 795/2014 on oversight requirements for systemically important payment systems (ECB/2017/32)","32017R2094","","2017-11-03","European Central Bank",
"Decision (EU) 2017/2097 of the European Central Bank of 3 November 2017 on the methodology for calculating sanctions for infringements of the oversight requirements for systemically important payment systems (ECB/2017/35)","32017D0035","","2017-11-03","European Central Bank",
"Decision (EU) 2017/2098 of the European Central Bank of 3 November 2017 on procedural aspects concerning the imposition of corrective measures for non-compliance with Regulation (EU) No 795/2014 (ECB/2017/33)","32017D0033","","2017-11-03","European Central Bank",
"Guideline (EU) 2017/2082 of the European Central Bank of 22 September 2017 amending Guideline ECB/2012/27 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET2) (ECB/2017/28)","32017O0028","","2017-09-22","European Central Bank",
"Decision (EU) 2017/2080 of the European Central Bank of 22 September 2017 amending Decision ECB/2010/9 on access to and use of certain TARGET2 data (ECB/2017/29)","32017D0029","","2017-09-22","European Central Bank",
"Decision (EU) 2017/2081 of the European Central Bank of 10 October 2017 amending Decision ECB/2007/7 concerning the terms and conditions of TARGET2-ECB (ECB/2017/30)","32017D0030","","2017-10-10","European Central Bank",
"Regulation (EU) 2017/1538 of the European Central Bank of 25 August 2017 amending Regulation (EU) 2015/534 on reporting of supervisory financial information (ECB/2017/25)","32017R1538","","2017-08-25","European Central Bank",
"Regulation (EU) 2017/1539 of the European Central Bank of 25 August 2017 laying down the date of application of Regulation (EU) 2017/1538 amending Regulation (EU) 2015/534 on reporting of supervisory financial information (ECB/2017/25) to less significant supervised entities which are subject to national accounting frameworks (ECB/2017/26)","32017R1539","","2017-08-25","European Central Bank",
"Decision (EU) 2017/1493 of the European Central Bank of 3 August 2017 amending Decision ECB/2014/29 on the provision to the European Central Bank of supervisory data reported to the national competent authorities by the supervised entities pursuant to Commission Implementing Regulation (EU) No 680/2014 (ECB/2017/23)","32017D0023","","2017-08-03","European Central Bank",
"Guideline (EU) 2017/1404 of the European Central Bank of 23 June 2017 amending Guideline ECB/2012/13 on TARGET2-Securities (ECB/2017/19)","32017O0019","","2017-06-23","European Central Bank",
"Decision (EU) 2017/1403 of the European Central Bank of 23 June 2017 amending Decision ECB/2012/6 on the establishment of the TARGET2-Securities Board (ECB/2017/20)","32017D0020","","2017-06-23","European Central Bank",
"Guideline (EU) 2017/1362 of the European Central Bank of 18 May 2017 amending Guideline (EU) 2015/510 on the implementation of the Eurosystem monetary policy framework (ECB/2017/12)","32017O0012","","2017-05-18","European Central Bank",
"Decision (EU) 2017/1360 of the European Central Bank of 18 May 2017 amending Decision ECB/2014/40 on the implementation of the third covered bond purchase programme (ECB/2017/14)","32017D0014(01)","","2017-05-18","European Central Bank",
"Decision (EU) 2017/1359 of the European Central Bank of 18 May 2017 amending Decision (EU) 2016/948 on the implementation of the corporate sector purchase programme (ECB/2017/13)","32017D0013","","2017-05-18","European Central Bank",
"Decision (EU) 2017/1361 of the European Central Bank of 18 May 2017 amending Decision (EU) 2015/5 on the implementation of the asset-backed securities purchase programme (ECB/2017/15)","32017D0015","","2017-05-18","European Central Bank",
"Decision (EU) 2017/1258 of the European Central Bank of 5 July 2017 on the delegation of decisions on the transmission of confidential statistical information to the Single Resolution Board (ECB/2017/22)","32017D0022","","2017-07-05","European Central Bank",
"Decision (EU) 2017/1198 of the European Central Bank of 27 June 2017 on the reporting of funding plans of credit institutions by national competent authorities to the European Central Bank (ECB/2017/21)","32017D0021","","2017-06-27","European Central Bank",
"Decision (EU) 2017/933 of the European Central Bank of 16 November 2016 on a general framework for delegating decision-making powers for legal instruments related to supervisory tasks (ECB/2016/40)","32016D0040","","2016-11-16","European Central Bank",
"Decision (EU) 2017/936 of the European Central Bank of 23 May 2017 nominating heads of work units to adopt delegated fit and proper decisions (ECB/2017/16)","32017D0016","","2017-05-23","European Central Bank",
"Decision (EU) 2017/935 of the European Central Bank of 16 November 2016 on delegation of the power to adopt fit and proper decisions and the assessment of fit and proper requirements (ECB/2016/42)","32016D0042(01)","","2016-11-16","European Central Bank",
"Decision (EU) 2017/937 of the European Central Bank of 23 May 2017 nominating heads of work units to adopt delegated decisions on the significance of supervised entities (ECB/2017/17)","32017D0017","","2017-05-23","European Central Bank",
"Decision (EU) 2017/934 of the European Central Bank of 16 November 2016 on the delegation of decisions on the significance of supervised entities (ECB/2016/41)","32016D0041(01)","","2016-11-16","European Central Bank",
"Decision (EU) 2017/760 of the European Central Bank of 24 April 2017 on the total amount of annual supervisory fees for 2017 (ECB/2017/11)","32017D0011(01)","","2017-04-24","European Central Bank",
"Guideline (EU) 2017/697 of the European Central Bank of 4 April 2017 on the exercise of options and discretions available in Union law by national competent authorities in relation to less significant institutions (ECB/2017/9)","32017O0009","","2017-04-04","European Central Bank",
"Guideline (EU) 2017/469 of the European Central Bank of 7 February 2017 amending Guideline ECB/2008/8 on data collection regarding the euro and the operation of the Currency Information System 2 (ECB/2017/7)","32017O0007","","2017-02-07","European Central Bank",
"Decision (EU) 2017/468 of the European Central Bank of 26 January 2017 amending Decision ECB/2010/10 on non-compliance with statistical reporting requirements (ECB/2017/5)","32017D0005","","2017-01-26","European Central Bank",
"Decision (EU) 2017/274 of the European Central Bank of 10 February 2017 laying down the principles for providing performance feedback to national competent authority sub-coordinators and repealing Decision (EU) 2016/3 (ECB/2017/6)","32017D0006","","2017-02-10","European Central Bank",
"Guideline (EU) 2017/148 of the European Central Bank of 16 December 2016 amending Guideline ECB/2014/15 on monetary and financial statistics (ECB/2016/45)","32016O0045","","2016-12-16","European Central Bank",
"Decision (EU) 2017/100 of the European Central Bank of 11 January 2017 amending Decision (EU) 2015/774 on a secondary markets public sector asset purchase programme (ECB/2017/1)","32017D0001","","2017-01-11","European Central Bank",
"Decision (EU) 2017/102 of the European Central Bank of 11 January 2017 amending Decision (EU) 2015/5 on the implementation of the asset-backed securities purchase programme (ECB/2017/3)","32017D0003(01)","","2017-01-11","European Central Bank",
"Decision (EU) 2017/101 of the European Central Bank of 11 January 2017 amending Decision ECB/2014/40 on the implementation of the third covered bond purchase programme (ECB/2017/2)","32017D0002","","2017-01-11","European Central Bank",
"Decision (EU) 2017/103 of the European Central Bank of 11 January 2017 amending Decision (EU) 2016/948 on the implementation of the corporate sector purchase programme (ECB/2017/4)","32017D0004","","2017-01-11","European Central Bank",
"Decision (EU) 2016/2247 of the European Central Bank of 3 November 2016 on the annual accounts of the European Central Bank (ECB/2016/35)","32016D0035(01)","","2016-11-03","European Central Bank",
"Guideline (EU) 2016/2249 of the European Central Bank of 3 November 2016 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2016/34)","32016O0034","","2016-11-03","European Central Bank",
"Decision (EU) 2016/2248 of the European Central Bank of 3 November 2016 on the allocation of monetary income of the national central banks of Member States whose currency is the euro (ECB/2016/36)","32016D0036(01)","","2016-11-03","European Central Bank",
"Guideline (EU) 2016/2299 of the European Central Bank of 2 November 2016 amending Guideline (EU) 2016/65 on the valuation haircuts applied in the implementation of the Eurosystem monetary policy framework (ECB/2016/32)","32016O0032","","2016-11-02","European Central Bank",
"Guideline (EU) 2016/2300 of the European Central Bank of 2 November 2016 amending Guideline ECB/2014/31 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2016/33)","32016O0033","","2016-11-02","European Central Bank",
"Guideline (EU) 2016/2298 of the European Central Bank of 2 November 2016 amending Guideline (EU) 2015/510 on the implementation of the Eurosystem monetary policy framework (ECB/2016/31)","32016O0031","","2016-11-02","European Central Bank",
"Decision (EU) 2016/2164 of the European Central Bank of 30 November 2016 on the approval of the volume of coin issuance in 2017 (ECB/2016/43)","32016D0043","","2016-11-30","European Central Bank",
"Guideline (EU) 2016/1994 of the European Central Bank of 4 November 2016 on the approach for the recognition of institutional protection schemes for prudential purposes by national competent authorities pursuant to Regulation (EU) No 575/2013 of the European Parliament and of the Council (ECB/2016/38)","32016O0038","","2016-11-04","European Central Bank",
"Guideline (EU) 2016/1993 of the European Central Bank of 4 November 2016 laying down the principles for the coordination of the assessment pursuant to Regulation (EU) No 575/2013 of the European Parliament and of the Council and the monitoring of institutional protection schemes including significant and less significant institutions (ECB/2016/37)","32016O0037","","2016-11-04","European Central Bank",
"Decision (EU) 2016/1974 of the European Central Bank of 31 October 2016 amending Decision (EU) 2016/810 (ECB/2016/10) on a second series of targeted longer-term refinancing operations (ECB/2016/30)","32016D0030","","2016-10-31","European Central Bank",
"Decision (EU) 2016/1975 of the European Central Bank of 8 November 2016 on the sub-delegation of the powers to grant a provisional accreditation (ECB/2016/39)","32016D0039","","2016-11-08","European Central Bank",
"Decision (EU) 2016/1734 of the European Central Bank of 21 September 2016 amending Decision ECB/2013/54 on the accreditation procedures for manufacturers of euro secure items and euro items (ECB/2016/25)","32016D0025","","2016-09-21","European Central Bank",
"Decision (EU) 2016/1717 of the European Central Bank of 21 September 2016 amending Decision ECB/2004/2 adopting the Rules of Procedure of the European Central Bank (ECB/2016/27)","32016D0027","","2016-09-21","European Central Bank",
"Regulation (EU) 2016/1705 of the European Central Bank of 9 September 2016 amending Regulation (EC) No 1745/2003 (ECB/2003/9) on the application of minimum reserves (ECB/2016/26)","32016R1705","","2016-09-09","European Central Bank",
"Regulation (EU) 2016/1384 of the European Central Bank of 2 August 2016 amending Regulation (EU) No 1011/2012 (ECB/2012/24) concerning statistics on holdings of securities (ECB/2016/22)","32016R1384","","2016-08-02","European Central Bank",
"Guideline (EU) 2016/1386 of the European Central Bank of 2 August 2016 amending Guideline ECB/2013/7 concerning statistics on holdings of securities (ECB/2016/23)","32016O0023","","2016-08-02","European Central Bank",
"Decision (EU) 2016/1162 of the European Central Bank of 30 June 2016 on disclosure of confidential information in the context of criminal investigations (ECB/2016/19)","32016D0019","","2016-06-30","European Central Bank",
"Guideline (EU) 2016/1061 of the European Central Bank of 26 May 2016 amending Guideline ECB/2008/8 on data collection regarding the euro and the operation of the Currency Information System 2 (ECB/2016/15)","32016O0015","","2016-05-26","European Central Bank",
"Decision (EU) 2016/1041 of the European Central Bank of 22 June 2016 on the eligibility of marketable debt instruments issued or fully guaranteed by the Hellenic Republic and repealing Decision (EU) 2015/300 (ECB/2016/18)","32016D0018","","2016-06-22","European Central Bank",
"Decision (EU) 2016/956 of the European Central Bank of 7 June 2016 amending Decision (EU) 2016/245 (ECB/2016/2) laying down the rules on procurement (ECB/2016/17)","32016D0017(01)","","2016-06-07","European Central Bank",
"Decision (EU) 2016/955 of the European Central Bank of 6 May 2016 amending Decision ECB/2013/54 on the accreditation procedures for manufacturers of euro secure items and euro items (ECB/2016/12)","32016D0012","","2016-05-06","European Central Bank",
"Decision (EU) 2016/948 of the European Central Bank of 1 June 2016 on the implementation of the corporate sector purchase programme (ECB/2016/16)","32016D0016","","2016-06-01","European Central Bank",
"Regulation (EU) 2016/867 of the European Central Bank of 18 May 2016 on the collection of granular credit and credit risk data (ECB/2016/13)","32016R0867","","2016-05-18","European Central Bank",
"Decision (EU) 2016/868 of the European Central Bank of 18 May 2016 amending Decision ECB/2014/6 on the organisation of preparatory measures for the collection of granular credit data by the European System of Central Banks (ECB/2016/14)","32016D0014","","2016-05-18","European Central Bank",
"Decision (EU) 2016/821 of the European Central Bank of 26 April 2016 amending Decision ECB/2007/7 concerning the terms and conditions of TARGET2-ECB (ECB/2016/9)","32016D0009","","2016-04-26","European Central Bank",
"Decision (EU) 2016/810 of the European Central Bank of 28 April 2016 on a second series of targeted longer-term refinancing operations (ECB/2016/10)","32016D0010","","2016-04-28","European Central Bank",
"Decision (EU) 2016/811 of the European Central Bank of 28 April 2016 amending Decision ECB/2014/34 on measures relating to targeted longer-term refinancing operations (ECB/2016/11)","32016D0011","","2016-04-28","European Central Bank",
"Decision (EU) 2016/702 of the European Central Bank of 18 April 2016 amending Decision (EU) 2015/774 on a secondary markets public sector asset purchase programme (ECB/2016/8)","32016D0008","","2016-04-18","European Central Bank",
"Decision (EU) 2016/661 of the European Central Bank of 15 April 2016 on the total amount of annual supervisory fees for 2016 (ECB/2016/7)","32016D0007","","2016-04-15","European Central Bank",
"Guideline (EU) 2016/579 of the European Central Bank of 16 March 2016 amending Guideline ECB/2012/27 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET2) (ECB/2016/6)","32016O0006","","2016-03-16","European Central Bank",
"Guideline (EU) 2016/450 of the European Central Bank of 4 December 2015 amending Guideline ECB/2014/15 on monetary and financial statistics (ECB/2015/44)","32015O0044","","2015-12-04","European Central Bank",
"Decision (EU) 2016/457 of the European Central Bank of 16 March 2016 on the eligibility of marketable debt instruments issued or fully guaranteed by the Republic of Cyprus (ECB/2016/5)","32016D0005","","2016-03-16","European Central Bank",
